Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Short,Middle,Long,Buy,Sell,Profits
BHARTIARTL,EQ,325.2,323.7,330.7,322.15,327.0,328.45,326.01,4042029,131772248580000.0,62350,1216924,0.3011,327.6372227500241,328.9605967640142,328.8332644990958,,,0.0
BHARTIARTL,EQ,328.45,332.05,341.95,331.0,340.0,340.1,335.84,7713557,259048282015000.0,63120,2936355,0.38070000000000004,331.7914818333494,330.13316552569694,329.19093864198163,,340.1,34010.0
BHARTIARTL,EQ,340.1,340.0,340.1,328.55,331.0,330.65,334.15,4237059,141581312055000.0,56399,1538735,0.3632,331.4109878888996,330.18756915457095,329.23725805017267,330.65,,-33065.0
BHARTIARTL,EQ,330.65,331.0,337.95,328.65,336.5,335.15,334.03,6666818,222690890840000.0,93245,2679930,0.402,332.65732525926643,330.70993029619507,329.424964143818,,,0.0
BHARTIARTL,EQ,335.15,337.55,349.0,334.2,338.8,338.8,341.53,5349429,182696882580000.0,84882,1887212,0.3528,334.7048835061777,331.56151658080614,329.7225843297285,,,0.0
BHARTIARTL,EQ,338.8,340.05,356.0,340.0,353.0,353.2,349.09,9576934,334322611000000.0,89056,3997806,0.41740000000000005,340.86992233745184,333.8392516775634,330.46789911291165,,,0.0
BHARTIARTL,EQ,353.2,349.7,351.9,346.35,349.0,349.5,349.01,3930538,137178166534999.98,59349,1354117,0.34450000000000003,343.7466148916346,335.4877515009778,331.0720927918668,,,0.0
BHARTIARTL,EQ,349.5,348.75,351.7,341.7,345.6,345.6,345.44,8484214,293075817520000.0,85128,4664101,0.5497,344.3644099277564,336.5521987114012,331.5332961952996,,,0.0
BHARTIARTL,EQ,345.6,343.8,345.15,337.85,338.25,338.8,340.4,4497114,153083667800000.0,57143,1919936,0.4269,342.50960661850434,336.788809373359,331.76398520497264,,,0.0
BHARTIARTL,EQ,338.8,340.0,349.55,339.55,345.75,346.7,346.13,13891400,480825504239999.94,114579,6830340,0.4917,343.90640441233626,337.832092597216,332.2381444048148,,,0.0
BHARTIARTL,EQ,346.7,349.0,352.4,344.45,348.05,348.8,348.68,10825441,377462921520000.0,117509,6032690,0.5573,345.5376029415575,338.9866091659301,332.7639175983128,,,0.0
BHARTIARTL,EQ,348.8,351.5,355.75,348.85,352.2,352.75,351.93,5118048,180118121540000.0,116863,2860633,0.5589000000000001,347.9417352943717,340.43538714846375,333.3983964047156,,,0.0
BHARTIARTL,EQ,352.75,351.0,355.95,349.75,352.75,352.4,352.48,6625043,233522638869999.97,98488,3577930,0.5401,349.42782352958113,341.6948200802044,334.001621915677,,,0.0
BHARTIARTL,EQ,352.4,352.8,355.95,348.5,354.65,353.8,352.01,10317108,363172996025000.0,116348,6771509,0.6563,350.8852156863875,342.96904954544607,334.63014185486185,,,0.0
BHARTIARTL,EQ,353.8,353.8,361.95,351.8,357.0,357.1,357.2,5771494,206159962650000.0,67707,1769114,0.3065,352.9568104575917,344.4565180143465,335.34347068486625,,,0.0
BHARTIARTL,EQ,357.1,354.8,364.65,353.65,363.55,363.45,360.22,5882086,211886322225000.0,78878,2975354,0.5058,356.45454030506113,346.4558319075732,336.23574145677526,,,0.0
BHARTIARTL,EQ,363.45,363.0,366.95,358.25,362.4,363.25,362.23,5563691,201531545370000.0,84020,2168169,0.3897,358.71969353670744,348.2236390751971,337.093336966084,,,0.0
